materials property curl diameter pitch
sample328 0.537896684 1.570796327 60 120
sample329 0.574613089 2.094395102 60 120
sample330 1.633170109 2.243994753 30 140
sample331 1.443226538 0.897597901 40 140
sample332 1.401871839 2.692793703 50 140
sample333 0.66372848 0.897597901 60 140
sample334 0.452690426 2.243994753 60 140
sample335 1.760274198 0.785398163 30 160
sample336 1.493989109 0.785398163 40 160
sample337 1.522183395 1.963495408 40 160
sample338 1.586082646 2.35619449 40 160
sample339 0.751855495 0.785398163 60 160
sample340 1.341351122 1.570796327 60 160
sample341 1.798910248 1.396263402 20 180
sample342 1.776764192 1.745329252 20 180
sample343 1.77535325 0.698131701 30 180
sample344 1.463180419 1.396263402 50 180
sample345 1.161822191 1.047197551 60 180
sample346 1.364236095 1.396263402 60 180
sample347 1.448629634 2.094395102 60 180
sample348 1.649342938 1.570796327 40 200
sample349 1.654095943 1.884955592 40 200
sample350 0.72799034 6.283185307 20 70
sample351 0.988251348 4.188790205 23 90
sample352 0.997221583 4.398229715 29 100
sample353 0.910870753 5.140787979 20 110
sample354 1.135214197 3.427191986 23 110
sample355 1.089153632 4.569589314 35 110
sample356 1.174791632 4.188790205 29 120
sample357 1.052120503 4.71238898 32 120
sample358 1.208024082 2.89993168 20 130
sample359 1.042520237 4.34989752 20 130
sample360 1.138904555 3.383253627 32 130
sample361 1.196658005 3.383253627 32 130
sample362 1.192960468 4.039190555 26 140
sample363 1.228397793 4.039190555 32 140
sample364 1.170581703 3.590391604 38 140
sample365 1.404178342 3.141592654 20 60
sample366 1.157379916 4.188790205 20 60
sample367 1.05449834 5.235987756 20 60
sample368 0.91959136 6.283185307 20 60
sample369 1.623621123 2.094395102 20 60
sample370 1.092930713 5.235987756 20 60
sample371 1.617501119 2.094395102 20 60
sample372 1.582295656 3.141592654 20 60
sample373 1.313210144 4.188790205 20 60
sample374 1.179490956 5.235987756 20 60
sample375 1.576575732 2.094395102 20 60
sample376 1.611647704 3.141592654 20 60
sample377 1.347585723 4.188790205 20 60
sample378 0.913108242 6.283185307 20 60
sample379 1.60830863 2.094395102 20 60
sample380 1.558561878 3.141592654 20 60
sample381 1.381328859 4.188790205 20 60
sample382 0.885834994 6.283185307 20 60
sample383 1.630498522 2.094395102 20 60
sample384 1.546954712 3.141592654 20 60
sample385 0.495559869 2.094395102 30 60
sample386 0.450297175 3.141592654 30 60
sample387 0.543065334 4.188790205 30 60
sample388 0.44957328 5.235987756 30 60
sample389 0.361589393 6.283185307 30 60
sample390 0.538401027 2.094395102 30 60
sample391 0.578284761 4.188790205 30 60
sample392 0.398214286 5.235987756 30 60
sample393 0.355636164 6.283185307 30 60
sample394 0.551253911 2.094395102 30 60
sample395 0.695043802 4.188790205 30 60
sample396 0.573818056 5.235987756 30 60
sample397 0.611583165 3.141592654 30 60
sample398 0.697688229 4.188790205 30 60
sample399 0.378729379 6.283185307 30 60
sample400 0.52251431 2.094395102 30 60
sample401 0.476738705 3.141592654 30 60
sample402 0.580174548 4.188790205 30 60
sample403 0.404054211 5.235987756 30 60
sample404 0.536193425 2.094395102 30 60
sample405 0.500672043 4.188790205 30 60
sample406 0.410943031 5.235987756 30 60
sample407 0.202038839 3.141592654 40 60
sample408 0.204645914 4.188790205 40 60
sample409 0.202671536 5.235987756 40 60
sample410 0.268656093 6.283185307 40 60
sample411 0.205264242 2.094395102 40 60
sample412 0.270011534 3.141592654 40 60
sample413 0.230823061 5.235987756 40 60
sample414 0.254736041 6.283185307 40 60
sample415 0.212474645 2.094395102 40 60
sample416 0.278328358 4.188790205 40 60
sample417 0.157380254 2.094395102 40 60
sample418 0.252048309 4.188790205 40 60
sample419 0.237094204 5.235987756 40 60
sample420 0.238165057 6.283185307 40 60
sample421 0.141010569 2.094395102 40 60
sample422 0.205106193 3.141592654 40 60
sample423 0.20109969 4.188790205 40 60
sample424 0.168409533 2.094395102 40 60
sample425 0.276107797 3.141592654 40 60
sample426 0.242707877 4.188790205 40 60
sample427 0.163703156 5.235987756 40 60
sample428 0.201380757 6.283185307 40 60
sample429 0.211513311 6.283185307 50 60
sample430 0.229801089 2.094395102 50 60
sample431 0.204395424 4.188790205 50 60
sample432 0.234828299 5.235987756 50 60
sample433 0.223842502 6.283185307 50 60
sample434 0.176332576 4.188790205 50 60
sample435 0.160153908 4.188790205 50 60
sample436 0.221350984 6.283185307 50 60
sample437 0.15033622 4.188790205 50 60
sample438 0.171762322 5.235987756 50 60
sample439 0.164146583 3.141592654 50 60
sample440 0.14695172 4.188790205 50 60
sample441 0.173671946 5.235987756 50 60
sample442 0.199172131 6.283185307 50 60
sample443 0.153209516 3.141592654 60 60
sample444 0.172673585 6.283185307 60 60
sample445 0.201663775 4.188790205 60 60
sample446 0.219567189 5.235987756 60 60
sample447 0.237458813 6.283185307 60 60
sample448 0.331865027 2.094395102 60 60
sample449 0.14392943 3.141592654 60 60
sample450 0.178980076 4.188790205 60 60
sample451 0.261009085 6.283185307 60 60
sample452 0.30404006 2.094395102 60 60
sample453 0.132645179 4.188790205 60 60
sample454 0.175877087 6.283185307 60 60
sample455 0.149820789 4.188790205 60 60
sample456 0.157868246 5.235987756 60 60
sample457 0.164422065 6.283185307 60 60
sample458 0.344302135 2.094395102 60 60
sample459 0.139432481 4.188790205 60 60
sample460 0.165352739 5.235987756 60 60
sample461 0.189438201 6.283185307 60 60
sample462 1.325481886 3.926990817 20 80
sample463 1.172215613 4.71238898 20 80
sample464 1.431387021 2.35619449 20 80
sample465 1.487965014 3.141592654 20 80
sample466 1.391174215 3.926990817 20 80
sample467 1.535625522 2.35619449 20 80
sample468 1.515373684 3.141592654 20 80
sample469 1.425646034 3.926990817 20 80
sample470 1.570547296 2.35619449 20 80
sample471 1.457879283 3.926990817 20 80
sample472 1.124541331 4.71238898 20 80
sample473 1.68289172 1.570796327 20 80
sample474 1.534607313 2.35619449 20 80
sample475 1.561412459 3.141592654 20 80
sample476 1.112668763 4.71238898 20 80
sample477 1.278673041 3.926990817 30 80
sample478 1.099070739 4.71238898 30 80
sample479 1.518535633 1.570796327 30 80
sample480 1.423602163 3.141592654 30 80
sample481 1.077795333 4.71238898 30 80
sample482 1.490225876 1.570796327 30 80
sample483 1.41555124 2.35619449 30 80
sample484 1.469576128 3.141592654 30 80
sample485 1.051447486 4.71238898 30 80
sample486 1.521382995 1.570796327 30 80
sample487 1.449063253 2.35619449 30 80
sample488 1.465880348 2.35619449 30 80
sample489 1.492498185 3.141592654 30 80
sample490 1.438634216 3.926990817 30 80
sample491 1.047208763 4.71238898 30 80
sample492 0.616723124 2.35619449 40 80
sample493 0.541119652 3.141592654 40 80
sample494 0.446970328 3.926990817 40 80
sample495 0.480311969 4.71238898 40 80
sample496 0.646392003 2.35619449 40 80
sample497 0.663949046 3.141592654 40 80
sample498 0.56884476 3.926990817 40 80
sample499 0.486049356 4.71238898 40 80
sample500 0.50876255 1.570796327 40 80
sample501 0.569138227 3.926990817 40 80
sample502 0.542208301 1.570796327 40 80
sample503 0.568869584 2.35619449 40 80
sample504 0.518373167 3.141592654 40 80
sample505 0.456280155 3.926990817 40 80
sample506 0.485462674 4.71238898 40 80
sample507 0.571872399 2.35619449 40 80
sample508 0.498581499 3.926990817 40 80
sample509 0.504706917 4.71238898 40 80
sample510 0.134236726 1.570796327 50 80
sample511 0.243811914 3.141592654 50 80
sample512 0.226152669 3.926990817 50 80
sample513 0.276450687 3.141592654 50 80
sample514 0.291109363 4.71238898 50 80
sample515 0.190951364 1.570796327 50 80
sample516 0.25440978 2.35619449 50 80
sample517 0.267871201 3.141592654 50 80
sample518 0.235428669 4.71238898 50 80
sample519 0.137107618 1.570796327 50 80
sample520 0.248717083 2.35619449 50 80
sample521 0.219494041 3.141592654 50 80
sample522 0.205526653 3.926990817 50 80
sample523 0.135046231 1.570796327 50 80
sample524 0.296154212 2.35619449 50 80
sample525 0.287187707 3.141592654 50 80
sample526 0.218741284 3.926990817 50 80
sample527 0.234025397 1.570796327 60 80
sample528 0.219179426 3.141592654 60 80
sample529 0.314876544 4.71238898 60 80
sample530 0.28882472 1.570796327 60 80
sample531 0.196895535 3.926990817 60 80
sample532 0.249955532 4.71238898 60 80
sample533 0.125998225 2.35619449 60 80
sample534 0.181575096 3.141592654 60 80
sample535 0.220326497 3.926990817 60 80
sample536 0.194625496 4.71238898 60 80
sample537 0.305462968 1.570796327 60 80
sample538 0.096393826 2.35619449 60 80
sample539 0.183567906 3.926990817 60 80
sample540 1.575847187 1.256637061 20 100
sample541 1.462900474 1.884955592 20 100
sample542 1.565890814 2.513274123 20 100
sample543 1.512368073 3.141592654 20 100
sample544 1.403263403 3.769911184 20 100
sample545 1.531240953 1.884955592 20 100
sample546 1.560280587 3.141592654 20 100
sample547 1.317807896 3.769911184 20 100
sample548 1.720652447 1.256637061 20 100
sample549 1.564291331 1.884955592 20 100
sample550 1.616966219 2.513274123 20 100
sample551 1.560754007 3.141592654 20 100
sample552 1.300884556 3.769911184 20 100
sample553 1.718223089 1.256637061 20 100
sample554 1.305927814 3.769911184 20 100
sample555 1.484157119 1.256637061 30 100
sample556 1.388248215 2.513274123 30 100
sample557 1.351954063 3.769911184 30 100
sample558 1.398990225 1.884955592 30 100
sample559 1.457093508 2.513274123 30 100
sample560 1.454773297 3.141592654 30 100
sample561 1.38957569 3.769911184 30 100
sample562 1.509330432 1.256637061 30 100
sample563 1.496619976 1.884955592 30 100
sample564 1.501759448 2.513274123 30 100
sample565 1.48405232 3.141592654 30 100
sample566 1.404523039 3.769911184 30 100
sample567 1.5347367 1.256637061 30 100
sample568 1.424299184 1.884955592 30 100
sample569 1.512495664 3.141592654 30 100
sample570 1.330698022 2.513274123 40 100
sample571 1.354259888 3.141592654 40 100
sample572 1.261734861 3.769911184 40 100
sample573 1.244760521 1.884955592 40 100
sample574 1.42778845 2.513274123 40 100
sample575 1.410716808 3.141592654 40 100
sample576 1.139383658 1.256637061 40 100
sample577 1.451846697 3.141592654 40 100
sample578 1.08921779 3.769911184 40 100
sample579 1.152010881 1.256637061 40 100
sample580 1.502349624 2.513274123 40 100
