     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
        26    0.9337418860E+00    0.9496869957E+00   -0.3188465846E+01    0.7592423166E+02   -0.2847855719E-02
        27    0.8223886330E+00    0.8645888277E+00   -0.3165409161E+01    0.8976392445E+02   -0.2627904834E-02
        28    0.9944004230E+00    0.9830978729E+00   -0.3004182244E+01    0.5832286881E+02   -0.1898824801E-02
        29    0.1058331164E+01    0.1336361854E+01   -0.3845311825E+01    0.3817577158E+02   -0.5231515428E-02
        30    0.9543756420E+00    0.1241852169E+01   -0.3831095016E+01    0.5214519838E+02   -0.4701673063E-02
        31    0.9940212870E+00    0.1153913443E+01   -0.3816771902E+01    0.6581147292E+02   -0.4323415695E-02
        32    0.1111249766E+01    0.1336361854E+01   -0.3845311825E+01    0.3817577158E+02   -0.5231515428E-02
        33    0.8405589810E+00    0.9889637424E+00   -0.3787798659E+01    0.9263876821E+02   -0.3819555142E-02
        34    0.9557065150E+00    0.1049964088E+01   -0.3674224812E+01    0.6212938031E+02   -0.1251088954E-02
        35    0.7999844320E+00    0.8838264160E+00   -0.3642930790E+01    0.8910825173E+02   -0.7472284019E-03
        36    0.1011915204E+01    0.1049964088E+01   -0.3674224812E+01    0.6212938031E+02   -0.1251088954E-02
        37    0.1166193745E+01    0.1234235564E+01   -0.3704994651E+01    0.3422084192E+02   -0.2159188688E-02
        38    0.8335985850E+00    0.9379699148E+00   -0.3485522050E+01    0.8557773525E+02   -0.2601176069E-02
        39    0.1033415076E+01    0.1194943428E+01   -0.3536491380E+01    0.4455364895E+02   -0.3483293990E-02
        40    0.9922741040E+00    0.1105381119E+01   -0.3519665362E+01    0.5844728770E+02   -0.3105036622E-02
        41    0.9714315640E+00    0.1020214829E+01   -0.3502676911E+01    0.7209461523E+02   -0.2821523375E-02
        42    0.8607430470E+00    0.9379699148E+00   -0.3485522050E+01    0.8557773525E+02   -0.2601176069E-02
        43    0.9359528220E+00    0.9379699148E+00   -0.3485522050E+01    0.8557773525E+02   -0.2601176069E-02
        44    0.8250073490E+00    0.8885223107E+00   -0.3312445603E+01    0.8204721878E+02   -0.1369019537E-02
        45    0.8666041810E+00    0.8885223107E+00   -0.3312445603E+01    0.8204721878E+02   -0.1369019537E-02
        46    0.1046079090E+01    0.9714179131E+00   -0.3331424682E+01    0.6849778419E+02   -0.1589366842E-02
        47    0.9011571690E+00    0.1075262962E+01   -0.3161577295E+01    0.5108310247E+02   -0.2750500511E-02
        48    0.8256932940E+00    0.9048784892E+00   -0.3119102759E+01    0.7851670230E+02   -0.2246639958E-02
        49    0.1026581306E+01    0.1291767165E+01   -0.4052897546E+01    0.4941758678E+02   -0.4683057794E-02
        50    0.1065672895E+01    0.1291767165E+01   -0.4052897546E+01    0.4941758678E+02   -0.4683057794E-02
        51    0.1097754042E+01    0.1205814127E+01   -0.4041272868E+01    0.6279346686E+02   -0.4304577112E-02
        52    0.1017595671E+01    0.1124069319E+01   -0.4029580926E+01    0.7596092975E+02   -0.4020836497E-02
        53    0.9537272880E+00    0.9430164114E+00   -0.3889897412E+01    0.8540587975E+02   -0.7279309252E-03
        54    0.1082797442E+01    0.1251343014E+01   -0.3793080854E+01    0.4166688240E+02   -0.3464678721E-02
        55    0.9412543120E+00    0.1000757817E+01   -0.3752956768E+01    0.8182231162E+02   -0.2581878593E-02
        56    0.1142203276E+01    0.1251343014E+01   -0.3793080854E+01    0.4166688240E+02   -0.3464678721E-02
        57    0.9494693120E+00    0.9556966406E+00   -0.3605219077E+01    0.7823874350E+02   -0.1349722060E-02
        58    0.1131676110E+01    0.1119973255E+01   -0.3634281802E+01    0.5154256123E+02   -0.1854041507E-02
        59    0.1132038739E+01    0.1143194802E+01   -0.3476071042E+01    0.4779225936E+02   -0.2731661928E-02
        60    0.1124946498E+01    0.1028302743E+01   -0.3284420308E+01    0.5767835905E+02   -0.1788361108E-02
        61    0.1073837830E+01    0.1336860994E+01   -0.4251711557E+01    0.4692341406E+02   -0.4669066833E-02
        62    0.1215438767E+01    0.1428061373E+01   -0.4261344659E+01    0.3343523921E+02   -0.5199265216E-02
        63    0.1238501220E+01    0.1428061373E+01   -0.4261344659E+01    0.3343523921E+02   -0.5199265216E-02
        64    0.1175085314E+01    0.1336860994E+01   -0.4251711557E+01    0.4692341406E+02   -0.4669066833E-02
        65    0.1176600873E+01    0.1331362526E+01   -0.4148230845E+01    0.2928932362E+02   -0.2126938476E-02
        66    0.1162153250E+01    0.1239052182E+01   -0.4138063291E+01    0.4296848440E+02   -0.1596740093E-02
        67    0.1144471643E+01    0.1153938996E+01   -0.4127845526E+01    0.5622929502E+02   -0.1218120710E-02
        68    0.1210064411E+01    0.1239052182E+01   -0.4138063291E+01    0.4296848440E+02   -0.1596740093E-02
        69    0.1150448585E+01    0.1301484209E+01   -0.4017804122E+01    0.3901355474E+02   -0.3450687760E-02
        70    0.1183161542E+01    0.1301484209E+01   -0.4017804122E+01    0.3901355474E+02   -0.3450687760E-02
        71    0.1154692047E+01    0.1215539085E+01   -0.4006963051E+01    0.5241078389E+02   -0.3072068378E-02
        72    0.1198415083E+01    0.1301484209E+01   -0.4017804122E+01    0.3901355474E+02   -0.3450687760E-02
        73    0.1199862232E+01    0.1134270510E+01   -0.3996062997E+01    0.6551243959E+02   -0.2788186982E-02
        74    0.1157553123E+01    0.1174826656E+01   -0.3878310646E+01    0.4859227275E+02   -0.1839911845E-02
        75    0.1074349053E+01    0.1014188398E+01   -0.3854963206E+01    0.7478042652E+02   -0.1335308719E-02
        76    0.1201215953E+01    0.1174826656E+01   -0.3878310646E+01    0.4859227275E+02   -0.1839911845E-02
        77    0.1071881661E+01    0.1093147748E+01   -0.3578139379E+01    0.5436384786E+02   -0.1774090666E-02
        78    0.1052991973E+01    0.1013273211E+01   -0.3564455008E+01    0.6750718697E+02   -0.1553368936E-02
        79    0.1121494245E+01    0.1013273211E+01   -0.3564455008E+01    0.6750718697E+02   -0.1553368936E-02
        80    0.1161381516E+01    0.1103540392E+01   -0.3414562961E+01    0.5064765061E+02   -0.2292038708E-02
        81    0.1261100078E+01    0.1468102762E+01   -0.4440929895E+01    0.3132309585E+02   -0.5188564330E-02
        82    0.1029103684E+01    0.1141267656E+01   -0.4408010588E+01    0.8268066570E+02   -0.3774781401E-02
        83    0.1271803459E+01    0.1373420482E+01   -0.4337111457E+01    0.2708168729E+02   -0.2116237589E-02
        84    0.1228426257E+01    0.1282291486E+01   -0.4328529749E+01    0.4058776211E+02   -0.1585950386E-02
        85    0.1220446402E+01    0.1119421049E+01   -0.4311263501E+01    0.6641022861E+02   -0.9232686070E-03
        86    0.1294854271E+01    0.1373420482E+01   -0.4337111457E+01    0.2708168729E+02   -0.2116237589E-02
        87    0.1235963879E+01    0.1282291486E+01   -0.4328529749E+01    0.4058776211E+02   -0.1585950386E-02
        88    0.1154101557E+01    0.1262285137E+01   -0.4209967753E+01    0.4975390392E+02   -0.3061188736E-02
        89    0.1173198940E+01    0.1182488857E+01   -0.4200858185E+01    0.6263434826E+02   -0.2777216274E-02
